Date,Country,Confirmed,Deaths,Recovered,Active
2021-01-01,India,91119,1722,66662,22735
2021-01-02,India,98168,1699,68992,27477
2021-01-03,India,104489,1957,75760,26772
2021-01-04,India,112847,1923,83901,27023
2021-01-05,India,122210,2129,86046,34035
2021-01-06,India,130447,2296,94083,34068
2021-01-07,India,140017,2461,101595,35961
2021-01-08,India,149306,2625,106502,40179
2021-01-09,India,160346,2977,113041,44328
2021-01-10,India,172426,3135,120236,49055
2021-01-11,India,185802,3222,129736,52844
2021-01-12,India,201738,3819,148362,49557
2021-01-13,India,215922,3712,157452,54758
2021-01-14,India,231806,3997,166844,60965
2021-01-15,India,246601,4640,174578,67383
2021-01-16,India,266057,4688,191828,69541
2021-01-17,India,286309,4973,212864,68472
2021-01-18,India,309672,5846,229077,74749
2021-01-19,India,333625,6286,233345,93994
2021-01-20,India,356212,6087,253361,96764
2021-01-21,India,381976,6700,281301,93975
2021-01-22,India,409310,7188,295576,106546
2021-01-23,India,436480,8120,304980,123380
2021-01-24,India,474316,8795,334362,131159
2021-01-25,India,504260,9394,368282,126584
2021-01-26,India,544850,10102,380687,154061
2021-01-27,India,583862,10060,430980,142822
2021-01-28,India,629379,11115,439418,178846
2021-01-29,India,673727,11891,492818,169018
2021-01-30,India,726480,13639,522056,190785
2021-01-01,USA,115045,2349,79730,32966
2021-01-02,USA,121541,2496,82610,36435
2021-01-03,USA,128292,2547,84194,41551
2021-01-04,USA,134140,2557,92130,39453
2021-01-05,USA,140920,2820,98697,39403
2021-01-06,USA,147822,2929,102407,42486
2021-01-07,USA,154990,2968,103763,48259
2021-01-08,USA,162254,3384,112832,46038
2021-01-09,USA,171697,3561,119360,48776
2021-01-10,USA,179848,3738,122650,53460
2021-01-11,USA,191066,3972,128186,58908
2021-01-12,USA,199786,3887,135126,60773
2021-01-13,USA,212299,4399,139129,68771
2021-01-14,USA,224030,4443,149227,70360
2021-01-15,USA,234307,4610,164517,65180
2021-01-16,USA,246199,4933,169914,71352
2021-01-17,USA,258934,5423,182062,71449
2021-01-18,USA,271632,5431,182005,84196
2021-01-19,USA,285169,5439,195477,84253
2021-01-20,USA,300871,5747,201262,93862
2021-01-21,USA,320366,6240,212160,101966
2021-01-22,USA,337905,7086,225417,105402
2021-01-23,USA,357885,7344,238667,111874
2021-01-24,USA,379528,7490,260589,111449
2021-01-25,USA,401618,8061,264872,128685
2021-01-26,USA,426938,8385,283625,134928
2021-01-27,USA,445714,8995,307042,129677
2021-01-28,USA,465057,9312,309879,145866
2021-01-29,USA,492255,9524,339432,143299
2021-01-30,USA,517990,10812,342845,164333
2021-01-01,Brazil,68977,1464,46989,20524
2021-01-02,Brazil,74085,1594,49488,23003
2021-01-03,Brazil,79464,1756,52564,25144
2021-01-04,Brazil,84136,1782,57200,25154
2021-01-05,Brazil,90413,2013,58944,29456
2021-01-06,Brazil,95962,2154,65240,28568
2021-01-07,Brazil,103091,2325,68772,31994
2021-01-08,Brazil,108763,2319,73950,32494
2021-01-09,Brazil,116110,2440,74318,39352
2021-01-10,Brazil,124112,2607,79809,41696
2021-01-11,Brazil,132324,2961,88339,41024
2021-01-12,Brazil,140049,3140,90592,46317
2021-01-13,Brazil,148565,3341,99164,46060
2021-01-14,Brazil,159466,3558,105792,50116
2021-01-15,Brazil,168276,3657,109086,55533
2021-01-16,Brazil,178180,4088,116646,57446
2021-01-17,Brazil,191438,4261,129170,58007
2021-01-18,Brazil,203893,4517,134493,64883
2021-01-19,Brazil,215654,4840,139967,70847
2021-01-20,Brazil,227209,5064,146289,75856
2021-01-21,Brazil,244379,5598,166359,72422
2021-01-22,Brazil,259502,5457,176828,77217
2021-01-23,Brazil,275922,6327,188504,81091
2021-01-24,Brazil,296194,6394,193786,96014
2021-01-25,Brazil,317942,6878,204587,106477
2021-01-26,Brazil,339041,7754,227090,104197
2021-01-27,Brazil,361648,7664,240767,113217
2021-01-28,Brazil,389408,8286,257366,123756
2021-01-29,Brazil,418246,9402,280162,128682
2021-01-30,Brazil,447464,9718,290708,147038
2021-01-01,UK,43991,1083,31601,11307
2021-01-02,UK,46186,1109,32333,12744
2021-01-03,UK,48364,1175,34343,12846
2021-01-04,UK,50641,1254,35038,14349
2021-01-05,UK,52515,1217,36966,14332
2021-01-06,UK,54030,1293,37936,14801
2021-01-07,UK,55914,1352,37827,16735
2021-01-08,UK,57529,1417,39868,16244
2021-01-09,UK,59315,1426,42321,15568
2021-01-10,UK,61283,1485,41627,18171
2021-01-11,UK,63074,1517,44279,17278
2021-01-12,UK,65804,1609,47628,16567
2021-01-13,UK,68461,1618,48933,17910
2021-01-14,UK,70822,1691,48082,21049
2021-01-15,UK,72848,1815,52217,18816
2021-01-16,UK,76104,1812,52029,22263
2021-01-17,UK,78520,1845,55157,21518
2021-01-18,UK,82065,1995,56542,23528
2021-01-19,UK,86243,2110,60604,23529
2021-01-20,UK,89923,2143,61811,25969
2021-01-21,UK,93209,2285,62983,27941
2021-01-22,UK,96078,2218,65048,28812
2021-01-23,UK,100740,2458,70387,27895
2021-01-24,UK,103797,2489,72520,28788
2021-01-25,UK,107134,2557,74450,30127
2021-01-26,UK,111717,2711,75662,33344
2021-01-27,UK,115849,2809,81112,31928
2021-01-28,UK,121474,2953,82984,35537
2021-01-29,UK,125081,3037,84595,37449
2021-01-30,UK,130341,3242,91730,35369
2021-01-01,Germany,39114,480,30427,8207
2021-01-02,Germany,40408,520,31288,8600
2021-01-03,Germany,42148,539,32234,9375
2021-01-04,Germany,43061,482,32550,10029
2021-01-05,Germany,44019,544,33391,10084
2021-01-06,Germany,45236,574,34205,10457
2021-01-07,Germany,47024,543,35780,10701
2021-01-08,Germany,48750,597,38945,9208
2021-01-09,Germany,50585,637,38905,11043
2021-01-10,Germany,51812,647,41208,9957
2021-01-11,Germany,54079,639,41835,11605
2021-01-12,Germany,56168,656,45020,10492
2021-01-13,Germany,58448,693,46322,11433
2021-01-14,Germany,60675,679,48547,11449
2021-01-15,Germany,62624,792,48283,13549
2021-01-16,Germany,65222,768,49277,15177
2021-01-17,Germany,67943,759,52381,14803
2021-01-18,Germany,70851,914,55523,14414
2021-01-19,Germany,73342,872,56448,16022
2021-01-20,Germany,75387,930,59753,14704
2021-01-21,Germany,78326,985,59493,17848
2021-01-22,Germany,80821,898,63240,16683
2021-01-23,Germany,83293,1064,64347,17882
2021-01-24,Germany,85192,961,67563,16668
2021-01-25,Germany,88159,987,66930,20242
2021-01-26,Germany,91405,1018,72766,17621
2021-01-27,Germany,94782,1058,71962,21762
2021-01-28,Germany,98922,1162,76519,21241
2021-01-29,Germany,102830,1325,82706,18799
2021-01-30,Germany,106745,1254,81038,24453
2021-01-01,Italy,49098,1282,36146,11670
2021-01-02,Italy,51442,1297,38048,12097
