Order_ID,Date,Product,Category,Quantity,Price,Sales,Region
ORD0001,2025-12-15,Jeans,Fashion,5,2242.61,11213.05,North
ORD0002,2025-08-03,Biography,Books,5,663.14,3315.7,North
ORD0003,2025-05-11,Lipstick,Beauty,2,626.64,1253.28,North
ORD0004,2025-07-11,T-Shirt,Fashion,1,1153.02,1153.02,West
ORD0005,2025-09-10,Perfume,Beauty,1,2210.9,2210.9,South
ORD0006,2025-07-07,Handbag,Fashion,6,2570.74,15424.44,South
ORD0007,2025-12-30,Biography,Books,1,591.04,591.04,South
ORD0008,2025-05-15,Biography,Books,7,586.72,4107.04,North
ORD0009,2025-11-12,Hair Serum,Beauty,2,864.83,1729.66,East
ORD0010,2025-12-06,Face Wash,Beauty,4,415.98,1663.92,South
ORD0011,2025-02-04,Jacket,Fashion,4,4214.01,16856.04,West
ORD0012,2025-01-02,Smartwatch,Electronics,6,8074.74,48448.44,South
ORD0013,2025-07-10,Perfume,Beauty,4,2393.38,9573.52,West
ORD0014,2025-09-27,Smartwatch,Electronics,7,7341.59,51391.13,East
ORD0015,2025-09-09,Moisturizer,Beauty,5,684.41,3422.05,North
ORD0016,2025-02-22,Exam Guide,Books,1,764.95,764.95,East
ORD0017,2025-02-10,Table Lamp,Home & Kitchen,5,1646.84,8234.2,South
ORD0018,2025-01-09,Jeans,Fashion,4,2109.13,8436.52,West
ORD0019,2025-03-22,Mixer Grinder,Home & Kitchen,3,4744.14,14232.42,East
ORD0020,2025-08-19,Bluetooth Speaker,Electronics,4,3754.17,15016.68,East
ORD0021,2025-09-25,Jacket,Fashion,7,4329.88,30309.16,South
ORD0022,2025-10-20,Lipstick,Beauty,6,646.47,3878.82,East
ORD0023,2025-08-15,Laptop,Electronics,6,69535.88,417215.28,North
ORD0024,2025-08-06,Bluetooth Speaker,Electronics,6,3495.66,20973.96,North
ORD0025,2025-07-26,Shoes,Fashion,2,3457.54,6915.08,South
ORD0026,2025-03-04,Biography,Books,1,625.87,625.87,West
ORD0027,2025-08-10,Smartwatch,Electronics,7,7856.61,54996.27,North
ORD0028,2025-01-29,Mixer Grinder,Home & Kitchen,7,4310.78,30175.46,North
ORD0029,2025-10-11,Perfume,Beauty,5,2110.08,10550.4,West
ORD0030,2025-05-14,Face Wash,Beauty,4,421.79,1687.16,South
ORD0031,2025-05-08,Mixer Grinder,Home & Kitchen,4,4370.67,17482.68,West
ORD0032,2025-10-10,Laptop,Electronics,4,63083.4,252333.6,South
ORD0033,2025-12-25,Headphones,Electronics,3,2458.71,7376.13,North
ORD0034,2025-08-13,Bluetooth Speaker,Electronics,4,3320.89,13283.56,North
ORD0035,2025-06-09,Perfume,Beauty,1,2157.69,2157.69,South
ORD0036,2025-02-21,Programming Book,Books,7,1199.34,8395.38,South
ORD0037,2025-04-11,Programming Book,Books,1,1144.03,1144.03,South
ORD0038,2025-05-10,Smartphone,Electronics,7,28671.88,200703.16,South
ORD0039,2025-05-06,Laptop,Electronics,4,64321.18,257284.72,North
ORD0040,2025-09-04,T-Shirt,Fashion,3,1168.72,3506.16,East
ORD0041,2025-09-12,Programming Book,Books,5,1231.75,6158.75,West
ORD0042,2025-08-28,T-Shirt,Fashion,1,1156.99,1156.99,West
ORD0043,2025-12-15,T-Shirt,Fashion,4,1242.62,4970.48,West
ORD0044,2025-12-12,Biography,Books,3,630.33,1890.99,South
ORD0045,2025-11-04,Jeans,Fashion,7,2392.16,16745.12,West
ORD0046,2025-09-24,Laptop,Electronics,1,61217.93,61217.93,South
ORD0047,2025-04-09,Handbag,Fashion,2,3070.01,6140.02,North
ORD0048,2025-03-01,Children Book,Books,1,367.45,367.45,South
ORD0049,2025-02-06,Cookware Set,Home & Kitchen,7,3096.98,21678.86,West
ORD0050,2025-05-27,Headphones,Electronics,3,2678.16,8034.48,East
ORD0051,2025-04-30,Perfume,Beauty,4,2017.02,8068.08,West
ORD0052,2025-04-14,Jacket,Fashion,3,4385.05,13155.15,East
ORD0053,2025-04-09,Hair Serum,Beauty,2,838.95,1677.9,West
ORD0054,2025-07-13,Exam Guide,Books,5,755.88,3779.4,East
ORD0055,2025-03-09,Laptop,Electronics,5,60824.7,304123.5,North
ORD0056,2025-05-15,Lipstick,Beauty,1,605.1,605.1,East
ORD0057,2025-01-22,Biography,Books,6,712.26,4273.56,South
ORD0058,2025-09-21,Biography,Books,2,630.51,1261.02,East
