Student_ID,Gender,Attendance,Study_Hours,Internal_Marks,Assignment_Score,Final_Marks
S001,Male,77.0,8.0,50.0,50.0,75.2
S002,Female,86.8,3.1,45.1,48.6,59.2
S003,Male,100.0,3.9,50.0,47.1,72.7
S004,Male,85.2,4.4,50.0,49.2,66.8
S005,Male,83.0,2.4,43.6,39.3,60.1
S006,Female,77.9,6.1,50.0,49.6,71.8
S007,Male,77.2,5.9,50.0,50.0,66.0
S008,Male,89.6,4.5,50.0,49.0,73.1
S009,Male,84.3,3.7,46.6,50.0,65.4
S010,Female,76.9,2.3,44.5,43.9,59.6
S011,Male,73.8,3.3,44.2,50.0,59.0
S012,Male,80.7,5.6,50.0,50.0,71.8
S013,Male,77.7,4.2,50.0,42.9,73.0
S014,Male,82.0,3.9,50.0,46.9,68.0
S015,Female,80.2,5.3,50.0,47.4,73.8
S016,Male,85.1,6.2,50.0,50.0,71.0
S017,Female,71.9,4.9,50.0,48.2,77.9
S018,Female,90.7,5.0,50.0,50.0,81.0
S019,Female,100.0,6.6,50.0,50.0,86.6
S020,Male,91.5,4.8,50.0,50.0,76.6
S021,Female,83.7,4.0,50.0,46.2,68.2
S022,Male,89.1,5.5,50.0,50.0,76.6
S023,Female,73.9,4.1,46.3,49.5,69.8
S024,Female,69.3,3.9,43.2,44.1,59.7
S025,Female,88.2,6.4,50.0,50.0,75.8
S026,Female,77.7,4.1,50.0,45.4,60.2
S027,Female,71.2,1.0,43.1,40.3,49.7
S028,Female,75.0,5.0,50.0,49.0,76.2
S029,Female,73.0,3.9,50.0,47.6,64.0
S030,Female,83.1,4.1,50.0,50.0,67.6
S031,Male,86.7,5.2,50.0,50.0,74.6
S032,Male,89.1,4.3,50.0,46.7,64.1
S033,Female,89.2,4.8,48.5,50.0,76.1
S034,Female,88.0,1.5,48.9,42.1,65.4
S035,Female,80.3,3.1,50.0,47.4,66.1
S036,Male,77.0,6.6,50.0,50.0,82.0
S037,Female,69.9,4.5,49.2,43.9,60.5
S038,Male,90.8,2.0,50.0,47.8,71.1
S039,Male,80.6,2.9,47.2,47.1,60.4
S040,Male,78.7,3.0,48.8,42.5,57.7
S041,Male,91.4,4.7,50.0,50.0,71.9
S042,Male,74.8,3.9,43.6,46.7,71.6
S043,Female,88.7,3.5,50.0,47.1,67.9
S044,Female,84.4,4.5,50.0,50.0,66.8
S045,Female,73.7,5.2,50.0,50.0,64.9
S046,Female,81.4,4.1,46.5,47.5,66.8
S047,Female,89.8,3.6,48.1,50.0,60.5
S048,Male,88.4,3.9,47.3,50.0,63.7
S049,Female,94.0,5.0,50.0,50.0,80.7
S050,Female,84.7,4.5,50.0,49.5,75.8
